Cuerpo;Sentido
RT @Rosita37059164: LOS QUIERO FELICITAR  POR REGALARNOS EL PREVILEGIO DE DISFRUTAR DE CADA JUEGO DEPORTIVO Y DE ESTE CIERRE GRACIAS TVN #R…;Positivo
RT @NatxoBellido: Enhorabuena @alequereda una medalla de plata que viajará a Alicante #gimansiaritmica #Rio2016TVN Moltes felicitats!;Positivo
RT @manuel_homter: Como pueden pretender que deportistas Chilenos obtengan medallas si viven en un país que les da nulo apoyo de todo tipo…;Negativo
RT @MHforest64: Muy buena @TVN cortar la llegada del Maratón Olímpico donde corre una chilena por publicidad de Homecenter, Estamos mal #Ri…;Negativo
RT @MHforest64: Saben cuántos queremos reventarles la cara y la raja al director que cortó final del Maratón Olímpico Femenino? #Rio2016 #R…;Negativo
RT @manuel_homter: Como pueden pretender que deportistas Chilenos obtengan medallas si viven en un país que les da nulo apoyo de todo tipo…;Negativo
RT @ProfeRama: Se apago la #llamaOlimpica podrían aprovechar de apagar el micrófono de la @KarendTV en #Rio2016TVN;Negativo
RT @TVN: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía https://t.co/…;Positivo
RT @celiapunkpop: Notable el video olímpico con #LaParabolica en el cierre de #Rio2016TVN https://t.co/4azqGfsBr0;Positivo
Gracias, @MichaelMullerS por #Rio2016TVN! Envío un abrazo a Pedro Carcuro Leone, una de las personas que más aprecio y mucho deseo conocer.;Positivo
Gracias por repetir episodios tan inolvidables de los JJOO a esperar 4 años para ver a los mejores.  #Rio2016TVN;Positivo
RT @TVN: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía https://t.co/…;Positivo
RT @tvn_deportes: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía http…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN públicamente gracias a nuestros 27 comentaristas y 3 relatores que colaboraron en las transmisiones de TVN.…;Positivo
RT @tvn_deportes: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía http…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @EmericHrotko: #nascarxfox #Rio2016xFOX #Rio2016TVN  La pase bien en #YoRioxESPN ahora a ver la #nascarxstreaming;Positivo
RT @EmericHrotko: #nascarxfox #Rio2016xFOX #Rio2016TVN  La pase bien en #YoRioxESPN ahora a ver la #nascarxstreaming;Positivo
#nascarxfox #Rio2016xFOX #Rio2016TVN  La pase bien en #YoRioxESPN ahora a ver la #nascarxstreaming;Positivo
RT @michaelmullers: #Rio2016TVN públicamente gracias a nuestros 27 comentaristas y 3 relatores que colaboraron en las transmisiones de TVN.…;Positivo
RT @TVN: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía https://t.co/…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
RT @tvn_deportes: Adiós #Rio2016TVN y muchas gracias a nuestro @TeamChile por su participación en estos JJ.OO. Gracias por la sintonía http…;Positivo
RT @michaelmullers: #Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g…;Positivo
#Rio2016TVN esto ya es historia..abrazos y agradecimientos a todos por sus conceptos. Grande TVN! https://t.co/ujTmkP4g4u;Positivo
