,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,GFK,e->d,electronics,dvd,15.7628940724,17.52,1.75710592765,25
1,GFK,e->d,electronics,dvd,15.7628940724,21.5053763441,5.74248227173,50
2,GFK,e->d,electronics,dvd,15.7628940724,24.3781094527,8.61521538038,100
3,GFK,e->k,electronics,kitchen,8.58771469287,7.67045454545,-0.917260147413,25
4,GFK,e->k,electronics,kitchen,8.58771469287,8.30083008301,-0.286884609859,50
5,GFK,e->k,electronics,kitchen,8.58771469287,9.9227480687,1.33503337583,100
6,GFK,e->b,electronics,books,15.157878947,23.5795454545,8.42166650757,25
7,GFK,e->b,electronics,books,15.157878947,25.4729256331,10.3150466861,50
8,GFK,e->b,electronics,books,15.157878947,28.4632115803,13.3053326333,100
9,GFK,d->e,dvd,electronics,11.1277781945,17.1717171717,6.04393897726,25
10,GFK,d->e,dvd,electronics,11.1277781945,16.6266506603,5.49887246581,50
11,GFK,d->e,dvd,electronics,11.1277781945,17.5279381985,6.400160004,100
12,GFK,d->k,dvd,kitchen,8.58771469287,11.583011583,2.99529689014,25
13,GFK,d->k,dvd,kitchen,8.58771469287,12.030827745,3.4431130521,50
14,GFK,d->k,dvd,kitchen,8.58771469287,12.9953248831,4.40761019025,100
15,GFK,d->b,dvd,books,15.157878947,22.0888355342,6.93095658724,25
16,GFK,d->b,dvd,books,15.157878947,21.6886754702,6.53079652321,50
17,GFK,d->b,dvd,books,15.157878947,23.7605940149,8.60271506788,100
18,GFK,k->e,kitchen,electronics,11.1277781945,12.4849939976,1.35721580314,25
19,GFK,k->e,kitchen,electronics,11.1277781945,14.3905135162,3.26273532177,50
20,GFK,k->e,kitchen,electronics,11.1277781945,14.420360509,3.29258231456,100
21,GFK,k->d,kitchen,dvd,15.7628940724,20.3327922078,4.56989813544,25
22,GFK,k->d,kitchen,dvd,15.7628940724,22.0298268442,6.26693277181,50
23,GFK,k->d,kitchen,dvd,15.7628940724,23.0780769519,7.31518287957,100
24,GFK,k->b,kitchen,books,15.157878947,23.9595959596,8.80171701262,25
25,GFK,k->b,kitchen,books,15.157878947,29.202920292,14.0450413451,50
26,GFK,k->b,kitchen,books,15.157878947,31.0357758944,15.8778969474,100
27,GFK,b->e,books,electronics,11.1277781945,11.2068965517,0.0791183572693,25
28,GFK,b->e,books,electronics,11.1277781945,21.3233082707,10.1955300762,50
29,GFK,b->e,books,electronics,11.1277781945,20.1230030751,8.99522488062,100
30,GFK,b->d,books,dvd,15.7628940724,13.5016025641,-2.26129150825,25
31,GFK,b->d,books,dvd,15.7628940724,16.9852867581,1.22239268573,50
32,GFK,b->d,books,dvd,15.7628940724,17.6029400735,1.84004600115,100
33,GFK,b->k,books,kitchen,8.58771469287,10.2815177479,1.69380305499,25
34,GFK,b->k,books,kitchen,8.58771469287,11.82,3.23228530713,50
35,GFK,b->k,books,kitchen,8.58771469287,15.2453811345,6.65766644166,100
