,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,GFK,k->d,kitchen,dvd,26.25,34.75,8.5
2,GFK,k->e,kitchen,electronics,23.5,21.75,-1.75
3,GFK,k->b,kitchen,books,25.5,35.0,9.5
4,GFK,d->k,dvd,kitchen,20.75,22.0,1.25
5,GFK,d->e,dvd,electronics,23.5,27.0,3.5
6,GFK,d->b,dvd,books,25.5,35.75,10.25
7,GFK,e->k,electronics,kitchen,20.75,16.75,-4.0
8,GFK,e->d,electronics,dvd,26.25,35.25,9.0
9,GFK,e->b,electronics,books,25.5,35.25,9.75
10,GFK,b->k,books,kitchen,20.75,23.75,3.0
11,GFK,b->d,books,dvd,26.25,26.75,0.5
12,GFK,b->e,books,electronics,23.5,31.25,7.75
