,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,mSDA,e->d,electronics,dvd,15.7628940724,25.9703881553,10.2074940829,25
1,mSDA,e->d,electronics,dvd,15.7628940724,29.5818327331,13.8189386607,50
2,mSDA,e->d,electronics,dvd,15.7628940724,25.7281432036,9.96524913123,100
3,mSDA,e->k,electronics,kitchen,8.58771469287,7.8125,-0.775214692867,25
4,mSDA,e->k,electronics,kitchen,8.58771469287,10.7672144369,2.17949974407,50
5,mSDA,e->k,electronics,kitchen,8.58771469287,11.6227905698,3.0350758769,100
6,mSDA,e->b,electronics,books,15.157878947,23.0368589744,7.87898002739,25
7,mSDA,e->b,electronics,books,15.157878947,27.8850965869,12.72721764,50
8,mSDA,e->b,electronics,books,15.157878947,26.5406635166,11.3827845696,100
9,mSDA,d->e,dvd,electronics,11.1277781945,31.4343434343,20.3065652399,25
10,mSDA,d->e,dvd,electronics,11.1277781945,22.0298268442,10.9020486497,50
11,mSDA,d->e,dvd,electronics,11.1277781945,27.205680142,16.0779019475,100
12,mSDA,d->k,dvd,kitchen,8.58771469287,16.6868686869,8.099153994,25
13,mSDA,d->k,dvd,kitchen,8.58771469287,16.5216521652,7.93393747235,50
14,mSDA,d->k,dvd,kitchen,8.58771469287,19.7804945124,11.1927798195,100
15,mSDA,d->b,dvd,books,15.157878947,28.1650641026,13.0071851556,25
16,mSDA,d->b,dvd,books,15.157878947,21.9595959596,6.80171701262,50
17,mSDA,d->b,dvd,books,15.157878947,22.2030550764,7.0451761294,100
18,mSDA,k->e,kitchen,electronics,11.1277781945,15.6676312526,4.53985305813,25
19,mSDA,k->e,kitchen,electronics,11.1277781945,12.12,0.992221805545,50
20,mSDA,k->e,kitchen,electronics,11.1277781945,13.7728443211,2.64506612665,100
21,mSDA,k->d,kitchen,dvd,15.7628940724,22.7070707071,6.94417663472,25
22,mSDA,k->d,kitchen,dvd,15.7628940724,25.7912660256,10.0283719533,50
23,mSDA,k->d,kitchen,dvd,15.7628940724,28.6832170804,12.9203230081,100
24,mSDA,k->b,kitchen,books,15.157878947,29.6518607443,14.4939817973,25
25,mSDA,k->b,kitchen,books,15.157878947,31.6484836353,16.4906046883,50
26,mSDA,k->b,kitchen,books,15.157878947,31.8557963949,16.6979174479,100
27,mSDA,b->e,books,electronics,11.1277781945,23.7117552335,12.583977039,25
28,mSDA,b->e,books,electronics,11.1277781945,23.2809528576,12.1531746631,50
29,mSDA,b->e,books,electronics,11.1277781945,24.2231055776,13.0953273832,100
30,mSDA,b->d,books,dvd,15.7628940724,27.2108843537,11.4479902814,25
31,mSDA,b->d,books,dvd,15.7628940724,20.0980392157,4.33514514333,50
32,mSDA,b->d,books,dvd,15.7628940724,19.5579889497,3.79509487737,100
33,mSDA,b->k,books,kitchen,8.58771469287,16.1030595813,7.51534488845,25
34,mSDA,b->k,books,kitchen,8.58771469287,19.0385387395,10.4508240466,50
35,mSDA,b->k,books,kitchen,8.58771469287,16.9829245731,8.39520988025,100
