,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,mSDA,e->d,electronics,dvd,16.9004225106,24.7506187655,7.85019625491
1,mSDA,e->k,electronics,kitchen,16.2154053851,14.4028600715,-1.81254531363
2,mSDA,e->b,electronics,books,23.7105927648,29.1782294557,5.46763669092
3,mSDA,d->e,dvd,electronics,16.3979099477,23.0730768269,6.67516687917
4,mSDA,d->k,dvd,kitchen,16.2154053851,24.2756068902,8.06020150504
5,mSDA,d->b,dvd,books,23.7105927648,21.678041951,-2.03255081377
6,mSDA,k->e,kitchen,electronics,16.3979099477,16.812920323,0.415010375259
7,mSDA,k->d,kitchen,dvd,16.9004225106,27.7906947674,10.8902722568
8,mSDA,k->b,kitchen,books,23.7105927648,31.5357883947,7.82519562989
9,mSDA,b->e,books,electronics,16.3979099477,23.0905772644,6.69266731668
10,mSDA,b->d,books,dvd,16.9004225106,17.3379334483,0.437510937773
11,mSDA,b->k,books,kitchen,16.2154053851,19.3329833246,3.11757793945
