,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,PCA,e->d,electronics,dvd,15.7628940724,25.3205128205,9.55761874816,25
1,PCA,e->d,electronics,dvd,15.7628940724,24.320802005,8.55790793266,50
2,PCA,e->d,electronics,dvd,15.7628940724,26.5531638291,10.7902697567,100
3,PCA,e->k,electronics,kitchen,8.58771469287,8.48,-0.107714692867,25
4,PCA,e->k,electronics,kitchen,8.58771469287,7.62882447665,-0.958890216217,50
5,PCA,e->k,electronics,kitchen,8.58771469287,10.1052526313,1.51753793845,100
6,PCA,e->b,electronics,books,15.157878947,22.56,7.40212105303,25
7,PCA,e->b,electronics,books,15.157878947,26.8429487179,11.685069771,50
8,PCA,e->b,electronics,books,15.157878947,26.368159204,11.210280257,100
9,PCA,d->e,dvd,electronics,11.1277781945,19.8715375351,8.74375934067,25
10,PCA,d->e,dvd,electronics,11.1277781945,23.8014212792,12.6736430847,50
11,PCA,d->e,dvd,electronics,11.1277781945,24.9831245781,13.8553463837,100
12,PCA,d->k,dvd,kitchen,8.58771469287,19.6078431373,11.0201284444,25
13,PCA,d->k,dvd,kitchen,8.58771469287,19.2080200501,10.6203053573,50
14,PCA,d->k,dvd,kitchen,8.58771469287,18.9079726993,10.3202580065,100
15,PCA,d->b,dvd,books,15.157878947,15.0974025974,-0.0604763495711,25
16,PCA,d->b,dvd,books,15.157878947,23.4223422342,8.26446328725,50
17,PCA,d->b,dvd,books,15.157878947,24.878121953,9.72024300608,100
18,PCA,k->e,kitchen,electronics,11.1277781945,4.65676435167,-6.47101384279,25
19,PCA,k->e,kitchen,electronics,11.1277781945,9.54095409541,-1.58682409905,50
20,PCA,k->e,kitchen,electronics,11.1277781945,12.4903122578,1.36253406335,100
21,PCA,k->d,kitchen,dvd,15.7628940724,29.7916666667,14.0287725943,25
22,PCA,k->d,kitchen,dvd,15.7628940724,26.422275641,10.6593815687,50
23,PCA,k->d,kitchen,dvd,15.7628940724,27.6456911423,11.8827970699,100
24,PCA,k->b,kitchen,books,15.157878947,26.2545162585,11.0966373116,25
25,PCA,k->b,kitchen,books,15.157878947,29.6541353383,14.4962563914,50
26,PCA,k->b,kitchen,books,15.157878947,30.330758269,15.172879322,100
27,PCA,b->e,books,electronics,11.1277781945,21.898989899,10.7712117045,25
28,PCA,b->e,books,electronics,11.1277781945,19.1005608974,7.97278270298,50
29,PCA,b->e,books,electronics,11.1277781945,20.7480187005,9.62024050601,100
30,PCA,b->d,books,dvd,15.7628940724,14.6858743497,-1.07701972261,25
31,PCA,b->d,books,dvd,15.7628940724,18.2,2.43710592765,50
32,PCA,b->d,books,dvd,15.7628940724,18.2504562614,2.48756218905,100
33,PCA,b->k,books,kitchen,8.58771469287,16.9008430349,8.31312834206,25
34,PCA,b->k,books,kitchen,8.58771469287,18.6174469788,10.0297322859,50
35,PCA,b->k,books,kitchen,8.58771469287,17.8754468862,9.2877321933,100
