,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,PCA,e->d,electronics,dvd,19.125478137,25.3831345784,6.25765644141
2,PCA,e->k,electronics,kitchen,11.8102952574,12.8328208205,1.02252556314
3,PCA,e->b,electronics,books,20.4205105128,29.3157328933,8.89522238056
4,PCA,d->e,dvd,electronics,15.7803945099,27.7281932048,11.947798695
5,PCA,d->k,dvd,kitchen,11.8102952574,20.2730068252,8.46271156779
6,PCA,d->b,dvd,books,20.4205105128,27.0456761419,6.62516562914
7,PCA,k->e,kitchen,electronics,15.7803945099,15.2403810095,-0.540013500338
8,PCA,k->d,kitchen,dvd,19.125478137,33.5233380835,14.3978599465
9,PCA,k->b,kitchen,books,20.4205105128,32.5083127078,12.0878021951
10,PCA,b->e,books,electronics,15.7803945099,25.8156453911,10.0352508813
11,PCA,b->d,books,dvd,19.125478137,22.0855521388,2.96007400185
12,PCA,b->k,books,kitchen,11.8102952574,24.5056126403,12.6953173829
