,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,SDA,e->d,electronics,dvd,16.9004225106,30.1507537688,13.2503312583
1,SDA,e->k,electronics,kitchen,16.2154053851,16.3154078852,0.100002500063
2,SDA,e->b,electronics,books,23.7105927648,32.6433160829,8.93272331808
3,SDA,d->e,dvd,electronics,16.3979099477,28.2407060177,11.8427960699
4,SDA,d->k,dvd,kitchen,16.2154053851,26.8031700793,10.5877646941
5,SDA,d->b,dvd,books,23.7105927648,25.4331358284,1.72254306358
6,SDA,k->e,kitchen,electronics,16.3979099477,19.210480262,2.81257031426
7,SDA,k->d,kitchen,dvd,16.9004225106,29.7082427061,12.8078201955
8,SDA,k->b,kitchen,books,23.7105927648,33.0083252081,9.29773244331
9,SDA,b->e,books,electronics,16.3979099477,29.9332483312,13.5353383835
10,SDA,b->d,books,dvd,16.9004225106,21.3305332633,4.43011075277
11,SDA,b->k,books,kitchen,16.2154053851,22.0855521388,5.87014675367
