,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,Baseline,e->d,electronics,dvd,23.0,32.0,9.0
1,Baseline,e->k,electronics,kitchen,17.5,19.5,2.0
2,Baseline,e->b,electronics,books,21.25,34.5,13.25
3,Baseline,d->e,dvd,electronics,20.0,31.75,11.75
4,Baseline,d->k,dvd,kitchen,17.5,25.25,7.75
5,Baseline,d->b,dvd,books,21.25,32.75,11.5
6,Baseline,k->e,kitchen,electronics,20.0,21.5,1.5
7,Baseline,k->d,kitchen,dvd,23.0,32.5,9.5
8,Baseline,k->b,kitchen,books,21.25,34.25,13.0
9,Baseline,b->e,books,electronics,20.0,26.75,6.75
10,Baseline,b->d,books,dvd,23.0,26.0,3.0
11,Baseline,b->k,books,kitchen,17.5,27.5,10.0
