,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,GFK,e->d,electronics,dvd,23.0,34.5,11.5
1,GFK,e->k,electronics,kitchen,17.5,26.75,9.25
2,GFK,e->b,electronics,books,21.25,39.0,17.75
3,GFK,d->e,dvd,electronics,20.0,32.25,12.25
4,GFK,d->k,dvd,kitchen,17.5,32.25,14.75
5,GFK,d->b,dvd,books,21.25,34.25,13.0
6,GFK,k->e,kitchen,electronics,20.0,24.75,4.75
7,GFK,k->d,kitchen,dvd,23.0,31.0,8.0
8,GFK,k->b,kitchen,books,21.25,33.75,12.5
9,GFK,b->e,books,electronics,20.0,34.5,14.5
10,GFK,b->d,books,dvd,23.0,35.25,12.25
11,GFK,b->k,books,kitchen,17.5,36.0,18.5
