,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,mSDA,e->d,electronics,dvd,23.0,35.5,12.5
1,mSDA,e->k,electronics,kitchen,17.5,21.25,3.75
2,mSDA,e->b,electronics,books,21.25,33.5,12.25
3,mSDA,d->e,dvd,electronics,20.0,29.25,9.25
4,mSDA,d->k,dvd,kitchen,17.5,23.0,5.5
5,mSDA,d->b,dvd,books,21.25,31.5,10.25
6,mSDA,k->e,kitchen,electronics,20.0,20.0,0.0
7,mSDA,k->d,kitchen,dvd,23.0,32.75,9.75
8,mSDA,k->b,kitchen,books,21.25,33.5,12.25
9,mSDA,b->e,books,electronics,20.0,24.75,4.75
10,mSDA,b->d,books,dvd,23.0,25.75,2.75
11,mSDA,b->k,books,kitchen,17.5,27.0,9.5
