,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,GFK,r->t,rio2016,thevoice,7.36268939394,14.1176470588,6.75495766488,25
1,GFK,r->t,rio2016,thevoice,7.36268939394,15.444015444,8.08132605008,50
2,GFK,r->t,rio2016,thevoice,7.36268939394,19.6732954545,12.3106060606,100
3,GFK,r->g,rio2016,general,26.9981271861,38.9830508475,11.9849236614,25
4,GFK,r->g,rio2016,general,26.9981271861,38.5339862808,11.5358590947,50
5,GFK,r->g,rio2016,general,26.9981271861,40.6843574137,13.6862302276,100
6,GFK,t->r,thevoice,rio2016,10.2087114338,23.4375,13.2287885662,25
7,GFK,t->r,thevoice,rio2016,10.2087114338,21.7391304348,11.530419001,50
8,GFK,t->r,thevoice,rio2016,10.2087114338,23.502722323,13.2940108893,100
9,GFK,t->g,thevoice,general,26.9981271861,38.5441263282,11.5459991421,25
10,GFK,t->g,thevoice,general,26.9981271861,33.7214899289,6.72336274281,50
11,GFK,t->g,thevoice,general,26.9981271861,37.7195277571,10.721400571,100
12,GFK,g->r,general,rio2016,10.2087114338,18.5185185185,8.30980708476,25
13,GFK,g->r,general,rio2016,10.2087114338,17.4573055028,7.24859406909,50
14,GFK,g->r,general,rio2016,10.2087114338,21.9147005445,11.7059891107,100
15,GFK,g->t,general,thevoice,7.36268939394,21.568627451,14.205938057,25
16,GFK,g->t,general,thevoice,7.36268939394,17.2675521822,9.90486278822,50
17,GFK,g->t,general,thevoice,7.36268939394,21.2121212121,13.8494318182,100
