,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,mSDA,r->t,rio2016,thevoice,7.36268939394,17.6470588235,10.2843694296,25
1,mSDA,r->t,rio2016,thevoice,7.36268939394,16.7619047619,9.39921536797,50
2,mSDA,r->t,rio2016,thevoice,7.36268939394,21.09375,13.7310606061,100
3,mSDA,r->g,rio2016,general,26.9981271861,38.0669061518,11.0687789657,25
4,mSDA,r->g,rio2016,general,26.9981271861,38.1992230855,11.2010958994,50
5,mSDA,r->g,rio2016,general,26.9981271861,41.3035794615,14.3054522754,100
6,mSDA,t->r,thevoice,rio2016,10.2087114338,0.0,-10.2087114338,25
7,mSDA,t->r,thevoice,rio2016,10.2087114338,9.09090909091,-1.11780234285,50
8,mSDA,t->r,thevoice,rio2016,10.2087114338,10.0272232305,-0.181488203267,100
9,mSDA,t->g,thevoice,general,26.9981271861,36.5886953955,9.59056820942,25
10,mSDA,t->g,thevoice,general,26.9981271861,36.997708033,9.99958084688,50
11,mSDA,t->g,thevoice,general,26.9981271861,39.8783129986,12.8801858125,100
12,mSDA,g->r,general,rio2016,10.2087114338,4.62962962963,-5.57908180413,25
13,mSDA,g->r,general,rio2016,10.2087114338,12.1597096189,1.95099818512,50
14,mSDA,g->r,general,rio2016,10.2087114338,19.5099818512,9.30127041742,100
15,mSDA,g->t,general,thevoice,7.36268939394,12.987012987,5.62432359307,25
16,mSDA,g->t,general,thevoice,7.36268939394,14.8571428571,7.4944534632,50
17,mSDA,g->t,general,thevoice,7.36268939394,17.7793560606,10.4166666667,100
