,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,PCA,r->t,rio2016,thevoice,7.36268939394,13.7651821862,6.4024927923,25
1,PCA,r->t,rio2016,thevoice,7.36268939394,12.3552123552,4.99252296127,50
2,PCA,r->t,rio2016,thevoice,7.36268939394,20.3835227273,13.0208333333,100
3,PCA,r->g,rio2016,general,26.9981271861,43.1949513382,16.1968241521,25
4,PCA,r->g,rio2016,general,26.9981271861,39.2323344432,12.2342072571,50
5,PCA,r->g,rio2016,general,26.9981271861,42.8950122559,15.8968850698,100
6,PCA,t->r,thevoice,rio2016,10.2087114338,0.699300699301,-9.50941073446,25
7,PCA,t->r,thevoice,rio2016,10.2087114338,5.64373897707,-4.56497245668,50
8,PCA,t->r,thevoice,rio2016,10.2087114338,13.7477313975,3.5390199637,100
9,PCA,t->g,thevoice,general,26.9981271861,39.1845557543,12.1864285682,25
10,PCA,t->g,thevoice,general,26.9981271861,38.9274691358,11.9293419497,50
11,PCA,t->g,thevoice,general,26.9981271861,40.0270364556,13.0289092695,100
12,PCA,g->r,general,rio2016,10.2087114338,5.18518518519,-5.02352624857,25
13,PCA,g->r,general,rio2016,10.2087114338,21.2962962963,11.0875848625,50
14,PCA,g->r,general,rio2016,10.2087114338,18.6479128857,8.43920145191,100
15,PCA,g->t,general,thevoice,7.36268939394,18.0392156863,10.6765262923,25
16,PCA,g->t,general,thevoice,7.36268939394,15.4285714286,8.06588203463,50
17,PCA,g->t,general,thevoice,7.36268939394,18.1107954545,10.7481060606,100
