,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,SDA,r->t,rio2016,thevoice,7.36268939394,5.88235294118,-1.48033645276,25
1,SDA,r->t,rio2016,thevoice,7.36268939394,15.3256704981,7.96298110414,50
2,SDA,r->t,rio2016,thevoice,7.36268939394,17.5189393939,10.15625,100
3,SDA,r->g,rio2016,general,26.9981271861,39.5610119048,12.5628847187,25
4,SDA,r->g,rio2016,general,26.9981271861,42.060137777,15.0620105909,50
5,SDA,r->g,rio2016,general,26.9981271861,42.6393364363,15.6412092502,100
6,SDA,t->r,thevoice,rio2016,10.2087114338,7.40740740741,-2.80130402635,25
7,SDA,t->r,thevoice,rio2016,10.2087114338,21.6071428571,11.3984314234,50
8,SDA,t->r,thevoice,rio2016,10.2087114338,16.1070780399,5.89836660617,100
9,SDA,t->g,thevoice,general,26.9981271861,35.6469201297,8.64879294358,25
10,SDA,t->g,thevoice,general,26.9981271861,38.2803790412,11.2822518552,50
11,SDA,t->g,thevoice,general,26.9981271861,40.1987110634,13.2005838773,100
12,SDA,g->r,general,rio2016,10.2087114338,17.6470588235,7.43834738977,25
13,SDA,g->r,general,rio2016,10.2087114338,15.1851851852,4.97647375143,50
14,SDA,g->r,general,rio2016,10.2087114338,24.1833030853,13.9745916515,100
15,SDA,g->t,general,thevoice,7.36268939394,26.6666666667,19.3039772727,25
16,SDA,g->t,general,thevoice,7.36268939394,21.4962121212,14.1335227273,50
17,SDA,g->t,general,thevoice,7.36268939394,20.9990530303,13.6363636364,100
